OID_,X,Y,Name,Address,Postal_Code,City,Province,Category,Activity,Outdoor
107,-79.07446745,43.25106794,Memorial Park,370 King St,L0S 1J0,Niagara-on-the-lake,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
108,-79.08230931,43.08639254,Meridian Reservation System,5400 Robinson St,L2G 2A6,Niagara Falls,ON,Golf courses and country clubs,Golf,Yes
109,-79.24464656,43.15626971,Meridian Centre,1 Icedogs Way,L2R 0B3,St. Catharines,ON,Fitness and recreational sports centres,,
110,-79.25109753,42.98929096,Merritt Park,115 King St,L3C 1Y1,Welland,ON,Nature parks and other similar institutions,Ice Hockey,
111,-79.25411066,42.99245747,Mill Street Park,40 Mill St,L3C 4Y2,Welland,ON,Nature parks and other similar institutions,,
112,-79.20881754,43.14215743,Merritton Community Park #4,7 Park Avenue,L2P 1P9,St. Catharines,ON,Sports stadiums and other presenters with facilities,Baseball,Yes
113,-79.1081413,43.11888835,Mitchelson Park,3750 Springdale Ave,L2J 2W5,Niagara Falls,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
114,-79.01826757,43.04518844,Legends On The Niagara,9233 Niagara River Pky,L2E 6S6,Niagara Falls,ON,Golf courses and country clubs,Golf,Yes
115,-79.79501641,43.17742294,Mpj Golf,2080 Rymal Rd E,L0R 1C0,Binbrook,ON,Golf courses and country clubs,Golf,Yes
116,-79.54984633,43.18934438,Nelles Fields,118 Main St E,L3M 1N8,Grimsby,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
117,-79.26858042,43.20190351,National Golf Course Owners Association,20 Simcoe St,L2N 5C7,St. Catharines,ON,Golf courses and country clubs,Golf,Yes
118,-79.07907003,43.09413,Mount Carmel Park Rink,Southwood Dr,L2G 3P3,Niagara Falls,ON,Sports stadiums and other presenters with facilities,Ice Hockey,
119,-79.0790289,43.09410312,Niagara Falls Memorial Arena,5145 Centre St,L2G 3P3,Niagara Falls,ON,Sports stadiums and other presenters with facilities,Ice Hockey,
120,-79.77787735,43.07566622,Niagara Golf Carts,5361 Woodburn Rd,L0R 1C0,Binbrook,ON,Golf courses and country clubs,Golf,Yes
121,-79.12541718,43.07298648,Niagara Falls Ymca,7150 Montrose Rd,L2H 3N3,Niagara Falls,ON,Fitness and recreational sports centres,Weightlifting,
